Age,SibSp,Parch,Fare,Sex_female,Sex_male,Harbor_C,Harbor_Q,Harbor_S,Class_1,Class_2,Class_3
24.0,1,0,60.0,0,1,0,0,1,1,0,0
27.0,0,0,15.0333,0,1,1,0,0,0,1,0
20.0,2,1,23.0,1,0,0,0,1,0,1,0
28.0,3,2,263.0,1,0,0,0,1,1,0,0
30.619721959122096,0,0,15.5792,0,1,1,0,0,0,1,0
10.0,4,1,29.125,0,1,0,1,0,0,0,1
35.0,0,0,7.8958,0,1,0,0,1,0,0,1
25.0,0,0,7.65,0,1,0,0,1,0,0,1
24.807286856798264,1,0,16.1,0,1,0,0,1,0,0,1
36.0,0,0,262.375,1,0,1,0,0,1,0,0
17.0,0,0,7.8958,0,1,0,0,1,0,0,1
32.0,0,0,13.5,0,1,0,0,1,0,1,0
18.0,0,0,7.75,0,1,0,0,1,0,0,1
22.0,0,0,7.725,1,0,0,1,0,0,0,1
13.0,2,2,262.375,0,1,1,0,0,1,0,0
30.371988643887896,0,0,21.0,1,0,0,0,1,0,1,0
18.0,0,0,7.8792,1,0,0,1,0,0,0,1
47.0,0,0,42.4,0,1,0,0,1,1,0,0
31.0,0,0,28.5375,0,1,1,0,0,1,0,0
60.0,1,4,263.0,1,0,0,0,1,1,0,0
24.0,0,0,7.75,1,0,0,1,0,0,0,1
21.0,0,0,7.8958,0,1,0,0,1,0,0,1
29.0,0,0,7.925,1,0,0,0,1,0,0,1
28.5,0,0,27.7208,0,1,1,0,0,1,0,0
35.0,0,0,211.5,1,0,1,0,0,1,0,0
32.5,0,0,211.5,0,1,1,0,0,1,0,0
28.890429453695006,0,0,8.05,0,1,0,0,1,0,0,1
55.0,2,0,25.7,1,0,0,0,1,1,0,0
30.0,0,0,13.0,0,1,0,0,1,0,1,0
24.0,0,0,7.75,1,0,0,1,0,0,0,1
6.0,1,1,15.2458,0,1,1,0,0,0,0,1
67.0,1,0,221.7792,0,1,0,0,1,1,0,0
49.0,0,0,26.0,0,1,0,0,1,1,0,0
28.89383247768098,0,0,7.8958,0,1,0,0,1,0,0,1
36.02533081316597,0,0,10.7083,0,1,0,1,0,0,1,0
22.002683478426984,1,0,14.4542,0,1,1,0,0,0,0,1
27.0,0,0,7.8792,1,0,0,1,0,0,0,1
18.0,0,0,8.05,1,0,0,0,1,0,0,1
28.3852126088714,0,0,7.75,1,0,0,1,0,0,0,1
2.0,1,1,23.0,0,1,0,0,1,0,1,0
22.0,1,0,13.9,1,0,0,0,1,0,0,1
28.896498400492302,0,0,7.775,0,1,0,0,1,0,0,1
27.0,1,2,52.0,1,0,0,0,1,1,0,0
28.890429453695006,0,0,8.05,0,1,0,0,1,0,0,1
25.0,0,0,26.0,0,1,1,0,0,1,0,0
25.0,0,0,7.7958,0,1,0,0,1,0,0,1
76.0,1,0,78.85,1,0,0,0,1,1,0,0
29.0,0,0,7.925,0,1,0,0,1,0,0,1
20.0,0,0,7.8542,1,0,0,0,1,0,0,1
33.0,0,0,8.05,0,1,0,0,1,0,0,1
43.0,1,0,55.4417,1,0,1,0,0,1,0,0
27.0,1,0,26.0,0,1,0,0,1,0,1,0
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
26.0,0,0,7.775,0,1,0,0,1,0,0,1
16.0,1,1,8.5167,1,0,1,0,0,0,0,1
28.0,0,0,22.525,0,1,0,0,1,0,0,1
21.0,0,0,7.8208,0,1,0,1,0,0,0,1
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
28.875808809137894,0,0,8.7125,0,1,0,0,1,0,0,1
18.5,0,0,13.0,0,1,0,0,1,0,1,0
41.0,0,0,15.0458,0,1,1,0,0,0,1,0
28.384568197066017,0,0,7.7792,1,0,0,1,0,0,0,1
36.0,0,0,31.6792,1,0,1,0,0,1,0,0
18.5,0,0,7.2833,1,0,0,1,0,0,0,1
63.0,1,0,221.7792,1,0,0,0,1,1,0,0
18.0,1,0,14.4542,0,1,1,0,0,0,0,1
26.08509118103882,0,0,6.4375,0,1,1,0,0,0,0,1
1.0,1,1,16.7,1,0,0,0,1,0,0,1
36.0,0,0,75.2417,0,1,1,0,0,1,0,0
29.0,1,0,26.0,1,0,0,0,1,0,1,0
12.0,0,0,15.75,1,0,0,0,1,0,1,0
27.448751242156234,1,0,7.75,0,1,0,1,0,0,0,1
35.0,1,0,57.75,1,0,1,0,0,1,0,0
28.0,0,0,7.25,0,1,0,0,1,0,0,1
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
17.0,0,1,16.1,1,0,0,0,1,0,0,1
22.0,0,0,7.7958,0,1,0,0,1,0,0,1
20.23216875354473,2,0,23.25,1,0,0,1,0,0,0,1
42.0,0,0,13.0,0,1,0,0,1,0,1,0
24.0,0,0,8.05,0,1,0,0,1,0,0,1
32.0,0,0,8.05,0,1,0,0,1,0,0,1
53.0,0,0,28.5,0,1,1,0,0,1,0,0
22.625509251093213,0,4,25.4667,1,0,0,0,1,0,0,1
22.179603208571923,1,0,6.4375,0,1,1,0,0,0,0,1
43.0,0,0,7.8958,0,1,0,0,1,0,0,1
24.0,0,0,7.8542,0,1,0,0,1,0,0,1
26.5,0,0,7.225,0,1,1,0,0,0,0,1
26.0,0,0,13.0,0,1,0,0,1,0,1,0
23.0,0,0,8.05,1,0,0,0,1,0,0,1
40.0,1,6,46.9,0,1,0,0,1,0,0,1
10.0,5,2,46.9,1,0,0,0,1,0,0,1
33.0,0,0,151.55,1,0,0,0,1,1,0,0
61.0,1,3,262.375,0,1,1,0,0,1,0,0
28.0,0,0,26.0,0,1,0,0,1,0,1,0
42.0,0,0,26.55,0,1,0,0,1,1,0,0
31.0,3,0,18.0,0,1,0,0,1,0,0,1
43.55194261485033,0,0,51.8625,0,1,0,0,1,1,0,0
22.0,0,0,8.05,0,1,0,0,1,0,0,1
44.11056158141933,0,0,26.55,0,1,0,0,1,1,0,0
30.0,1,1,26.0,0,1,0,0,1,0,1,0
23.0,0,1,83.1583,1,0,1,0,0,1,0,0
26.052908107895213,0,0,7.8958,0,1,1,0,0,0,0,1
60.5,0,0,35.6271884892086,0,1,0,0,1,0,0,1
36.0,0,2,12.1833,1,0,0,0,1,0,0,1
13.0,4,2,31.3875,0,1,0,0,1,0,0,1
24.0,0,0,7.55,0,1,0,0,1,0,0,1
29.0,0,0,221.7792,1,0,0,0,1,1,0,0
23.0,0,0,7.8542,1,0,0,0,1,0,0,1
42.0,0,0,26.55,0,1,0,0,1,1,0,0
26.0,0,2,13.775,1,0,0,0,1,0,0,1
28.385581159458727,0,0,7.7333,1,0,0,1,0,0,0,1
7.0,1,1,15.2458,0,1,1,0,0,0,0,1
26.0,0,0,13.5,1,0,0,0,1,0,1,0
28.913601796011946,0,0,7.0,0,1,0,0,1,0,0,1
41.0,0,0,13.0,0,1,0,0,1,0,1,0
26.0,1,1,22.025,1,0,0,0,1,0,0,1
48.0,0,0,50.4958,0,1,1,0,0,1,0,0
18.0,2,2,34.375,0,1,0,0,1,0,0,1
38.27477234075358,0,0,27.7208,1,0,1,0,0,1,0,0
22.0,0,0,8.9625,1,0,0,0,1,0,0,1
28.90146390241736,0,0,7.55,0,1,0,0,1,0,0,1
27.0,0,0,7.225,0,1,1,0,0,0,0,1
23.0,1,0,13.9,0,1,0,0,1,0,0,1
26.067619234931847,0,0,7.2292,0,1,1,0,0,0,0,1
40.0,1,5,31.3875,0,1,0,0,1,0,0,1
15.0,0,2,39.0,1,0,0,0,1,0,1,0
20.0,0,0,36.75,1,0,0,0,1,0,1,0
54.0,1,0,55.4417,0,1,1,0,0,1,0,0
36.0,0,3,39.0,1,0,0,0,1,0,1,0
64.0,0,2,83.1583,1,0,1,0,0,1,0,0
30.0,0,0,13.0,0,1,0,0,1,0,1,0
37.0,1,1,83.1583,0,1,1,0,0,1,0,0
18.0,1,0,53.1,1,0,0,0,1,1,0,0
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
27.0,1,1,247.5208,1,0,1,0,0,1,0,0
40.0,0,0,16.0,0,1,0,0,1,0,1,0
21.0,0,1,21.0,1,0,0,0,1,0,1,0
17.0,2,0,8.05,0,1,0,0,1,0,0,1
-8.135501240003514,8,2,69.55,1,0,0,0,1,0,0,1
40.0,0,0,13.0,0,1,0,0,1,0,1,0
34.0,1,0,26.0,0,1,0,0,1,0,1,0
44.12269947501392,0,0,26.0,0,1,0,0,1,1,0,0
11.5,1,1,14.5,0,1,0,0,1,0,0,1
61.0,0,0,12.35,0,1,0,1,0,0,1,0
8.0,0,2,32.5,0,1,0,0,1,0,1,0
33.0,0,0,7.8542,0,1,0,0,1,0,0,1
6.0,0,2,134.5,0,1,1,0,0,1,0,0
18.0,0,0,7.775,1,0,0,0,1,0,0,1
23.0,0,0,10.5,0,1,0,0,1,0,1,0
25.920023541852984,0,0,8.1125,1,0,0,0,1,0,0,1
28.214178653674963,0,0,15.5,1,0,0,1,0,0,0,1
0.33,0,2,14.4,0,1,0,0,1,0,0,1
47.0,1,0,227.525,0,1,1,0,0,1,0,0
8.0,1,1,26.0,1,0,0,0,1,0,1,0
25.0,0,0,10.5,0,1,0,0,1,0,1,0
41.28747550143812,0,0,25.7417,0,1,1,0,0,1,0,0
35.0,0,0,7.75,1,0,0,1,0,0,0,1
24.0,0,0,10.5,0,1,0,0,1,0,1,0
33.0,0,0,27.7208,1,0,1,0,0,1,0,0
25.0,0,0,7.8958,0,1,0,0,1,0,0,1
32.0,0,0,22.525,0,1,0,0,1,0,0,1
28.91249835113971,0,0,7.05,0,1,0,0,1,0,0,1
17.0,0,0,73.5,0,1,0,0,1,0,1,0
60.0,1,0,26.0,1,0,0,0,1,0,1,0
38.0,4,2,7.775,1,0,0,0,1,0,0,1
42.0,0,0,42.5,0,1,0,0,1,1,0,0
28.382361307321545,0,0,7.8792,1,0,0,1,0,0,0,1
57.0,1,1,164.8667,0,1,0,0,1,1,0,0
50.0,1,1,211.5,1,0,1,0,0,1,0,0
28.890429453695006,0,0,8.05,0,1,0,0,1,0,0,1
30.0,1,0,13.8583,1,0,1,0,0,0,1,0
21.0,0,0,8.05,0,1,0,0,1,0,0,1
22.0,0,0,10.5,1,0,0,0,1,0,1,0
21.0,0,0,7.7958,0,1,0,0,1,0,0,1
53.0,0,0,27.4458,1,0,1,0,0,1,0,0
21.465911990562457,0,2,15.2458,1,0,1,0,0,0,0,1
23.0,0,0,7.7958,0,1,0,0,1,0,0,1
28.3852126088714,0,0,7.75,1,0,0,1,0,0,0,1
40.5,0,0,15.1,0,1,0,0,1,0,0,1
36.0,0,0,13.0,0,1,0,0,1,0,1,0
14.0,0,0,65.0,0,1,0,0,1,0,1,0
21.0,0,0,26.55,1,0,0,0,1,1,0,0
21.0,1,0,6.4958,0,1,0,0,1,0,0,1
31.351387913073275,0,0,7.8792,0,1,0,1,0,0,0,1
39.0,1,0,71.2833,0,1,1,0,0,1,0,0
20.0,0,0,7.8542,0,1,0,0,1,0,0,1
64.0,1,0,75.25,0,1,1,0,0,1,0,0
20.0,0,0,7.225,0,1,1,0,0,0,0,1
18.0,1,1,13.0,1,0,0,0,1,0,1,0
48.0,1,0,106.425,1,0,1,0,0,1,0,0
55.0,0,0,27.7208,1,0,1,0,0,1,0,0
45.0,0,2,30.0,1,0,0,0,1,0,1,0
45.0,1,1,134.5,0,1,1,0,0,1,0,0
28.89401564952977,0,0,7.8875,0,1,0,0,1,0,0,1
23.18931734521724,1,2,23.45,0,1,0,0,1,0,0,1
41.0,1,0,51.8625,0,1,0,0,1,1,0,0
22.0,0,0,21.0,1,0,0,0,1,0,1,0
42.0,1,1,32.5,0,1,0,0,1,0,1,0
29.0,1,0,26.0,1,0,0,0,1,0,1,0
19.03365687267525,1,0,14.4542,1,0,1,0,0,0,0,1
0.92,1,2,27.75,1,0,0,0,1,0,1,0
20.0,0,0,7.925,0,1,0,0,1,0,0,1
27.0,1,0,136.7792,0,1,1,0,0,1,0,0
24.0,0,0,9.325,0,1,0,0,1,0,0,1
32.5,0,0,9.5,0,1,0,0,1,0,0,1
28.90146390241736,0,0,7.55,0,1,0,0,1,0,0,1
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
28.0,0,0,8.05,0,1,0,0,1,0,0,1
19.0,0,0,13.0,1,0,0,0,1,0,1,0
21.0,0,0,7.775,0,1,0,0,1,0,0,1
36.5,1,0,17.4,0,1,0,0,1,0,0,1
21.0,0,0,7.8542,0,1,0,0,1,0,0,1
29.0,0,2,23.0,1,0,0,0,1,0,1,0
1.0,1,1,12.1833,1,0,0,0,1,0,0,1
30.0,0,0,12.7375,0,1,1,0,0,0,1,0
28.89383247768098,0,0,7.8958,0,1,0,0,1,0,0,1
44.69649080857616,0,0,0.0,0,1,0,0,1,1,0,0
28.90146390241736,0,0,7.55,0,1,0,0,1,0,0,1
25.921402847943277,0,0,8.05,1,0,0,0,1,0,0,1
17.0,0,0,8.6625,0,1,0,0,1,0,0,1
46.0,0,0,75.2417,0,1,1,0,0,1,0,0
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
26.0,1,0,136.7792,1,0,1,0,0,1,0,0
24.308690681208063,1,0,15.5,1,0,0,1,0,0,0,1
26.067711924301115,0,0,7.225,0,1,1,0,0,0,0,1
20.0,1,0,26.0,1,0,0,0,1,0,1,0
28.0,0,0,10.5,0,1,0,0,1,0,1,0
40.0,1,0,26.0,0,1,0,0,1,0,1,0
30.0,1,0,21.0,0,1,0,0,1,0,1,0
22.0,0,0,10.5,0,1,0,0,1,0,1,0
23.0,0,0,8.6625,1,0,0,0,1,0,0,1
0.75,1,1,13.775,0,1,0,0,1,0,0,1
28.3852126088714,0,0,7.75,1,0,0,1,0,0,0,1
9.0,1,1,15.2458,1,0,1,0,0,0,0,1
2.0,1,1,20.2125,1,0,0,0,1,0,0,1
36.0,0,0,7.25,0,1,0,0,1,0,0,1
28.908084571650768,0,0,7.25,0,1,0,0,1,0,0,1
24.0,1,0,82.2667,0,1,0,0,1,1,0,0
26.067619234931847,0,0,7.2292,0,1,1,0,0,0,0,1
28.890429453695006,0,0,8.05,0,1,0,0,1,0,0,1
43.822562469765984,0,0,39.6,0,1,0,0,1,1,0,0
30.0,0,0,6.95,1,0,0,1,0,0,0,1
26.067619234931847,0,0,7.2292,0,1,1,0,0,0,0,1
53.0,1,1,81.8583,0,1,0,0,1,1,0,0
36.0,0,0,9.5,0,1,0,0,1,0,0,1
26.0,0,0,7.8958,0,1,0,0,1,0,0,1
1.0,1,2,41.5792,1,0,1,0,0,0,1,0
17.937747721922115,2,0,21.6792,0,1,1,0,0,0,0,1
30.0,0,0,45.5,0,1,0,0,1,1,0,0
29.0,0,0,7.8542,0,1,0,0,1,0,0,1
32.0,0,0,7.775,0,1,0,0,1,0,0,1
30.631493509019098,0,0,15.0458,0,1,1,0,0,0,1,0
43.0,0,1,21.0,0,1,0,0,1,0,1,0
24.0,0,0,8.6625,0,1,0,0,1,0,0,1
28.3852126088714,0,0,7.75,1,0,0,1,0,0,0,1
64.0,1,1,26.55,1,0,0,0,1,1,0,0
30.0,1,2,151.55,0,1,0,0,1,1,0,0
0.83,0,1,9.35,0,1,0,0,1,0,0,1
55.0,1,1,93.5,0,1,0,0,1,1,0,0
45.0,1,0,14.1083,1,0,0,0,1,0,0,1
18.0,0,0,8.6625,0,1,0,0,1,0,0,1
22.0,0,0,7.225,0,1,1,0,0,0,0,1
28.90091217998124,0,0,7.575,0,1,0,0,1,0,0,1
37.0,0,0,7.75,1,0,0,1,0,0,0,1
55.0,0,0,135.6333,1,0,1,0,0,1,0,0
17.0,0,0,7.7333,1,0,0,1,0,0,0,1
57.0,1,0,146.5208,0,1,1,0,0,1,0,0
19.0,0,0,10.5,0,1,0,0,1,0,1,0
27.0,0,0,7.8542,0,1,0,0,1,0,0,1
22.0,2,0,31.5,0,1,0,0,1,0,1,0
26.0,0,0,7.775,0,1,0,0,1,0,0,1
25.0,0,0,7.2292,0,1,1,0,0,0,0,1
26.0,0,0,13.0,0,1,0,0,1,0,1,0
33.0,0,0,26.55,0,1,0,0,1,1,0,0
39.0,0,0,211.3375,1,0,0,0,1,1,0,0
23.0,0,0,7.05,0,1,0,0,1,0,0,1
12.0,2,1,39.0,1,0,0,0,1,0,1,0
46.0,0,0,79.2,0,1,1,0,0,1,0,0
29.0,1,0,26.0,0,1,0,0,1,0,1,0
21.0,0,0,13.0,0,1,0,0,1,0,1,0
48.0,0,2,36.75,1,0,0,0,1,0,1,0
39.0,0,0,29.7,0,1,1,0,0,1,0,0
26.067711924301115,0,0,7.225,0,1,1,0,0,0,0,1
19.0,1,1,15.7417,1,0,1,0,0,0,0,1
27.0,0,0,7.8958,0,1,0,0,1,0,0,1
30.0,0,0,26.0,0,1,0,0,1,1,0,0
32.0,0,0,13.0,0,1,0,0,1,0,1,0
39.0,0,2,7.2292,0,1,1,0,0,0,0,1
25.0,0,0,31.5,0,1,0,0,1,0,1,0
26.067619234931847,0,0,7.2292,0,1,1,0,0,0,0,1
18.0,0,0,10.5,0,1,0,0,1,0,1,0
32.0,0,0,7.5792,0,1,0,0,1,0,0,1
17.076770269247874,1,9,69.55,0,1,0,0,1,0,0,1
58.0,0,1,512.3292,1,0,1,0,0,1,0,0
24.11471553502855,1,1,14.5,0,1,0,0,1,0,0,1
16.0,0,0,7.65,1,0,0,0,1,0,0,1
26.0,0,0,13.0,0,1,0,0,1,0,1,0
38.0,0,0,7.2292,1,0,1,0,0,0,0,1
24.0,0,0,13.5,0,1,0,0,1,0,1,0
31.0,0,0,21.0,1,0,0,0,1,0,1,0
45.0,0,1,63.3583,1,0,1,0,0,1,0,0
25.0,0,0,10.5,0,1,0,0,1,0,1,0
18.0,0,0,73.5,0,1,0,0,1,0,1,0
49.0,1,2,65.0,0,1,0,0,1,0,1,0
0.17,1,2,20.575,1,0,0,0,1,0,0,1
50.0,0,0,26.0,0,1,0,0,1,1,0,0
59.0,2,0,51.4792,1,0,0,0,1,1,0,0
28.894198821378563,0,0,7.8792,0,1,0,0,1,0,0,1
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
30.0,1,0,15.55,1,0,0,0,1,0,0,1
14.5,8,2,69.55,0,1,0,0,1,0,0,1
24.0,1,1,37.0042,1,0,1,0,0,0,1,0
31.0,0,0,21.0,1,0,0,0,1,0,1,0
27.0,0,0,8.6625,0,1,0,0,1,0,0,1
25.0,1,0,55.4417,1,0,1,0,0,1,0,0
14.10774366349614,1,9,69.55,1,0,0,0,1,0,0,1
22.00259299594746,1,0,14.4583,0,1,1,0,0,0,0,1
22.0,0,0,39.6875,1,0,0,0,1,0,0,1
45.0,0,1,59.4,1,0,1,0,0,1,0,0
29.0,0,0,13.8583,0,1,1,0,0,0,1,0
21.0,1,0,11.5,0,1,0,0,1,0,1,0
31.0,0,0,134.5,1,0,1,0,0,1,0,0
49.0,0,0,0.0,0,1,0,0,1,1,0,0
44.0,0,0,13.0,0,1,0,0,1,0,1,0
54.0,1,1,81.8583,1,0,0,0,1,1,0,0
45.0,0,0,262.375,1,0,1,0,0,1,0,0
22.0,2,0,8.6625,1,0,0,0,1,0,0,1
21.0,0,0,11.5,0,1,0,0,1,0,1,0
55.0,0,0,50.0,0,1,0,0,1,1,0,0
5.0,4,2,31.3875,0,1,0,0,1,0,0,1
31.35423921462313,0,0,7.75,0,1,0,1,0,0,0,1
26.0,0,0,7.8792,0,1,0,1,0,0,0,1
25.779058459424952,0,0,14.5,1,0,0,0,1,0,0,1
19.0,1,0,16.1,1,0,0,0,1,0,0,1
33.52032504137782,0,0,12.875,0,1,0,0,1,0,1,0
24.0,1,2,65.0,1,0,0,0,1,0,1,0
24.0,0,0,7.775,0,1,0,0,1,0,0,1
57.0,0,0,13.0,0,1,0,0,1,0,1,0
21.0,0,0,7.75,0,1,0,1,0,0,0,1
6.0,3,1,21.075,0,1,0,0,1,0,0,1
23.0,0,0,93.5,0,1,0,0,1,1,0,0
51.0,0,1,39.4,1,0,0,0,1,1,0,0
13.0,0,2,20.25,0,1,0,0,1,0,0,1
47.0,0,0,10.5,0,1,0,0,1,0,1,0
29.0,3,1,22.025,0,1,0,0,1,0,0,1
18.0,1,0,60.0,1,0,0,0,1,1,0,0
24.0,0,0,7.25,0,1,0,1,0,0,0,1
48.0,1,1,79.2,1,0,1,0,0,1,0,0
22.0,0,0,7.775,0,1,0,0,1,0,0,1
31.0,0,0,7.7333,0,1,0,1,0,0,0,1
30.0,0,0,164.8667,1,0,0,0,1,1,0,0
38.0,1,0,21.0,0,1,0,0,1,0,1,0
22.0,0,1,59.4,1,0,1,0,0,1,0,0
17.0,0,0,47.1,0,1,0,0,1,1,0,0
43.0,1,0,27.7208,0,1,1,0,0,1,0,0
20.0,0,0,13.8625,0,1,1,0,0,0,1,0
23.0,1,0,10.5,0,1,0,0,1,0,1,0
50.0,1,1,211.5,0,1,1,0,0,1,0,0
28.385857020676784,0,0,7.7208,1,0,0,1,0,0,0,1
3.0,1,1,13.775,1,0,0,0,1,0,0,1
28.3852126088714,0,0,7.75,1,0,0,1,0,0,0,1
37.0,1,0,90.0,1,0,0,1,0,1,0,0
28.0,0,0,7.775,1,0,0,0,1,0,0,1
28.890429453695006,0,0,8.05,0,1,0,0,1,0,0,1
39.0,0,0,108.9,1,0,1,0,0,1,0,0
38.5,0,0,7.25,0,1,0,0,1,0,0,1
28.890429453695006,0,0,8.05,0,1,0,0,1,0,0,1
21.100367148453085,1,1,22.3583,0,1,1,0,0,0,0,1
